,Age,Gender,Position,TotalYearsExperience,YearsExperienceGermany,Seniority,MainSkill,SecondarySkills,BrutSalary,BrutSalaryAndStocks,AnnualBrutLastYear,AnnualBrutAndStocksLastYear,VacationDays,Employment,ContractDuration,CompanySize,CompanyType,LossOfJobCorona,HoursIfShorterWeek,AdditionalMonetarySupport
0,26.0,Male,Software Engineer,5.0,3.0,Senior,TypeScript,"Kotlin, Javascript / Typescript",80000.0,5000.0,75000.0,10000.0,30,Full-time employee,Unlimited contract,51-100,Product,No,13.566568047337277,250.0
1,26.0,Male,Backend Developer,7.0,4.0,Senior,Ruby,,80000.0,5000.0,82000.0,5000.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
2,28.0,Male,Frontend Developer,4.0,1.0,Junior,Javascript,,54000.0,5000.0,65000.0,5000.0,24,Full-time employee,Unlimited contract,51-100,Startup,No,13.566568047337277,250.0
3,37.0,Male,Backend Developer,17.0,6.0,Senior,C# .NET,".NET, SQL, AWS, Docker",62000.0,5000.0,62000.0,5000.0,29,Full-time employee,Unlimited contract,101-1000,Product,No,13.566568047337277,250.0
4,32.0,Male,DevOps,5.0,1.0,Senior,"AWS, GCP, Python,K8s","Python, AWS, Google Cloud, Kubernetes, Docker",76000.0,5000.0,76000.0,5000.0,30,Full-time employee,Unlimited contract,11-50,Startup,No,13.566568047337277,250.0
5,37.0,Male,Frontend Developer,6.0,0.4,Middle,Javascript,,57000.0,5000.0,65000.0,5000.0,24,Full-time employee,Unlimited contract,11-50,Product,No,13.566568047337277,250.0
6,24.0,Male,Frontend Developer,5.0,1.0,Senior,Typescript,Javascript / Typescript,65000.0,5000.0,65000.0,5000.0,27,Full-time employee,Unlimited contract,1000+,Product,No,0.0,600.0
7,29.0,Male,Backend Developer,8.0,2.0,Senior,PHP,"SQL, AWS, Docker",56000.0,5000.0,55000.0,5000.0,28,Full-time employee,Unlimited contract,101-1000,Product,No,30.0,250.0
8,35.0,Male,Software Engineer,15.0,3.0,Lead,Java,,95000.0,5000.0,90000.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Product,No,0.0,250.0
9,32.0,Female,Data Engineer,2.0,2.0,Junior,Aws Hadoop Postgre Typescript,"Python, Kotlin, Javascript / Typescript, SQL, AWS",52500.0,5000.0,52500.0,5000.0,30,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,13.566568047337277,250.0
10,32.56893542757417,Male,Software Engineer,25.0,11.0,Senior,C++,"Python, C/C++, SQL",100000.0,101.0,80000.0,13000.0,24,Self-employed (freelancer),Temporary contract,11-50,Product,Yes,13.566568047337277,250.0
12,34.0,Male,Software Engineer,14.0,5.0,Senior,Typescript,"PHP, Javascript / Typescript, AWS",70000.0,5000.0,65000.0,5000.0,28,Full-time employee,Unlimited contract,11-50,Startup,No,0.0,250.0
13,28.0,Male,Designer (UI/UX),11.0,2.0,Senior,,,75000.0,9400.0,66000.0,5000.0,30,Full-time employee,Unlimited contract,1000+,Product,Yes,13.566568047337277,250.0
14,31.0,Male,Backend Developer,5.0,1.0,Senior,Kotlin,,75000.0,2000.0,75000.0,2000.0,25,Full-time employee,Unlimited contract,101-1000,Consulting / Agency,No,13.566568047337277,250.0
15,29.0,Male,Backend Developer,7.0,3.0,Middle,Ruby,"Go, Kubernetes, Docker",60350.0,5000.0,58000.0,500.0,31,Full-time employee,Unlimited contract,1000+,Product,i didn't but will be looking for new one because of covid,0.0,250.0
